player,nba_id,team_id,team,DRAFT_YEAR,DRAFT_NUMBER
Coulibaly Bilal,1641731,1610612764,WAS,2023.0,7.0
Council IV Ricky,1641741,1610612755,PHI,,
Craig Torrey,1628470,1610612741,CHI,,
Crawford Isaiah,1642384,1610612758,SAC,,
Crowder Jae,203109,1610612749,MIL,2012.0,34.0
Culver Jarrett,1629633,1610612753,ORL,2019.0,6.0
Cunningham Cade,1630595,1610612765,DET,2021.0,1.0
Curry Seth,203552,1610612766,CHA,,
Curry Stephen,201939,1610612744,GSW,2009.0,7.0
Dadiet Pacome,1642359,1610612752,NYK,2024.0,25.0
Daniels Dyson,1630700,1610612737,ATL,2022.0,8.0
Dante N'Faly,1642368,1610612745,HOU,,
Davis Anthony,203076,1610612747,LAL,2012.0,1.0
Davis Johnny,1631098,1610612764,WAS,2022.0,10.0
Davison JD,1631120,1610612738,BOS,2022.0,53.0
DeRozan DeMar,201942,1610612758,SAC,2009.0,9.0
Dennis RayJ,1642484,1610612746,LAC,,
DiVincenzo Donte,1628978,1610612752,NYK,2018.0,17.0
Diabate Moussa,1631217,1610612766,CHA,2022.0,43.0
Dick Gradey,1641711,1610612761,TOR,2023.0,13.0
Dieng Ousmane,1631172,1610612760,OKC,2022.0,11.0
Dillingham Rob,1642265,1610612750,MIN,2024.0,8.0
Dinwiddie Spencer,203915,1610612742,DAL,2014.0,38.0
Djurisic Nikola,1642365,1610612737,ATL,2024.0,43.0
Domask Marcus,1642452,1610612741,CHI,,
Doncic Luka,1629029,1610612742,DAL,2018.0,3.0
Dort Luguentz,1629652,1610612760,OKC,,
Dosunmu Ayo,1630245,1610612741,CHI,2021.0,38.0
Dowtin Jr. Jeff,1630288,1610612755,PHI,,
Dozier PJ,1628408,1610612750,MIN,,
Drell Henri,1630929,1610612757,POR,,
Drummond Andre,203083,1610612755,PHI,2012.0,9.0
Duarte Chris,1630537,1610612741,CHI,2021.0,13.0
Ducas Alex,1642505,1610612760,OKC,,
Duke Jr. David,1630561,1610612759,SAS,,
Dunn Kris,1627739,1610612746,LAC,2016.0,5.0
Dunn Ryan,1642346,1610612756,PHX,2024.0,28.0
Durant Kevin,201142,1610612756,PHX,2007.0,2.0
Duren Jalen,1631105,1610612765,DET,2022.0,13.0
Eason Tari,1631106,1610612745,HOU,2022.0,17.0
Edey Zach,1641744,1610612763,MEM,2024.0,9.0
Edwards Anthony,1630162,1610612750,MIN,2020.0,1.0
Edwards Jesse,1642399,1610612750,MIN,,
Edwards Justin,1642348,1610612755,PHI,,
Edwards Kessler,1630556,1610612742,DAL,2021.0,44.0
Ellis Keon,1631165,1610612758,SAC,,
Embiid Joel,203954,1610612755,PHI,2014.0,3.0
Enaruna Tristan,1642400,1610612738,BOS,,
